title,excerpt,content,collection,subcollection,folder,name,image_path
LICHTblick,"60 x 60cm, 2020, Stempeldruck, fluoreszierend, Acryl & Goldschimmer auf Leinwand, Fr. 990.- Fr. 792.-","Lichtblicke zeigen sich oft, wenn man sie am wenigsten erwartet – klein, aber wirkungsvoll. Sie verändern nicht sofort alles, aber sie eröffnen einen neuen Blickwinkel.
 
Fluoreszierend wie ein Glühwürmchen: Dieses Bild ist auch nach dem Licht ausschalten nicht ganz verschwunden.",Stempeldruck,,,IMG_2926.JPG,
blauLICHT,"60 x 60cm, 2020, Stempeldruck, fluoreszierend, Acryl & Goldschimmer auf Leinwand, Fr. 990.- Fr. 792.-","Das Blaulicht beeinflusst unser Schlaf-Wach-Rhythmus. Blaulicht wird in der Therapie eingesetzt oder taucht plötzlich auf als Zeichen, dass Hilfe unterwegs ist. 
Wo vorher Stillstand war, kommt Bewegung rein. 
 
Fluoreszierend wie ein Glühwürmchen: Dieses Bild ist auch nach dem Licht ausschalten nicht ganz verschwunden.",Stempeldruck,,,IMG_2952.JPG,
rückLICHT,"60 x 60cm, 2020, Stempeldruck, fluoreszierend, Acryl & Goldschimmer auf Leinwand, Fr. 990.- Fr. 792.-","Rücklichter geben uns Orientierung, auch wenn nicht alles sichtbar ist.
 
Fluoreszierend wie ein Glühwürmchen: Dieses Bild ist auch nach dem Licht ausschalten nicht ganz verschwunden.",Stempeldruck,,,IMG_3352.JPG,
schLICHT,"40 x 80cm, 2020, Stempeldruck, fluoreszierend, Acryl & Goldschimmer auf Leinwand, Fr. 800.- Fr. 640.-","Weniger ist mehr und manchmal ist «schlicht» auch mehr als genug.
 
Fluoreszierend wie ein Glühwürmchen: Dieses Bild ist auch nach dem Licht ausschalten nicht ganz verschwunden.",Stempeldruck,,,IMG_2940.JPG,
rotLICHT,"40 x 80cm, 2020, Stempeldruck, fluoreszierend, Acryl & Goldschimmer auf Leinwand, Fr. 990.- Fr. 792.-","rotLICHT - das einzige Licht, bei dem sowohl Autos als auch Moralvorstellungen bremsen und in der Dunkelkammer das entwickelt wird, was draußen keiner sehen soll.
 
Fluoreszierend wie ein Glühwürmchen: Dieses Bild ist auch nach dem Licht ausschalten nicht ganz verschwunden.",Stempeldruck,,,IMG_2931.JPG,
hoffnungsLICHT,"60 x 140cm, 2020, Stempeldruck, fluoreszierend, Acryl & Goldschimmer auf Leinwand, Fr. 2100.- Fr. 1680.-","Wer es in sich trägt, lässt sich nicht mehr von der Dunkelheit einnehmen.
Das Hoffnungslicht ist ein sanftes, beständiges Schimmern, das uns auch in dunklen Momenten daran erinnert, dass Veränderungen immer möglich sind.
 
Fluoreszierend wie ein Glühwürmchen: Dieses Bild ist auch nach dem Licht ausschalten nicht ganz verschwunden.",Stempeldruck,,,IMG_2929.JPG,
,,,,,,,
SAKURA,"60 x 140cm, 2016, Stempeldruck, Acryl auf Leinwand, Fr. 2500.-","Jede einzelne Kirschblüte auf diesem Kunstwerk ist von Hand bedruckt. dieses Bild umfasst mehr als 1000 Stempelungen. Jede vollkommene Blüte benötigt drei Drucke. Die wunderschöne Sakura (Kirschblüte), charakterisiert in Japan Schönheit, Aufbruch und Vergänglichkeit und ist das wichtigste Symbol Japans.",Stempeldruck,,,IMG_7532.PNG,
EYE-CATCHER SAKURA,"100 x 160cm, 2016, Stempeldruck, Acryl  und Lack auf Leinwand, Fr. 4800.-","Dieses Bild umfasst über 600 sichtbare Kirschblüten. 
Um den 3D-Effekt zu gestalten, ist jede Blüte drei Mal, mit einem handgefertigten Stempel, gedruckt.
 
Dieses Werk widerspiegelt die wunderschöne Sakura, die Kirschblüte. Sie charakterisiert Schönheit, Aufbruch und Vergänglichkeit und ist eines der wichtigsten Symbole Japan`s.
 
Hanami (Kirschblüte betrachten), ist ein traditionell, japanisches Fest, welches jeden Frühling mit grosser Freude erwartet wird. Familie und Freunde treffe sich, meist mit Bier und Sake, unter den Blüten gefüllten Kirschbäumen, zum Feiern.",Stempeldruck,,,IMG_7535.PNG,
MÄDCHEN MIT KIMONO,"60 x 140cm, Stempeldruck, Acryl auf Leinwand, Fr. 1950.-","Der Kimono ist ein traditionelles, japanisches Kleidungsstück. 
Ein Kimono für Frauen besteht aus mindestens 12 Einzelteilen, für Männer aus fünf. 
 
Kimonos werden vorwiegend zu speziellen Anlässen getragen wie Hochzeiten oder Teezeremonien. ",Stempeldruck,,,IMG_7540.PNG,
